source_file,source_path,trace_index,fiber_id,nd2_name,tile_name,baseline_9p5_10d,shifted_max,shifted_min,shifted_amplitude,reviewed_label,notes,label_round_id,label_file
HPC 0112-5.npz,data/raw/hpc/HPC 0112-5.npz,8,244,0112-5-CA1001,0112-5-CA1001,0.03137642747205348,0.022303960866025187,-0.8540966486352143,0.8540966486352143,inhibition,,hpc_random_forest_all_classes_round8,review_rounds/hpc_random_forest_all_classes_round8_reviewed_labels.csv
HPC 0112-5.npz,data/raw/hpc/HPC 0112-5.npz,11,331,0112-5-CA1001,0112-5-CA1001,0.04157233660280129,0.282761249909599,-0.011973543836125235,0.282761249909599,sustained_response,,hpc_random_forest_all_classes_round8,review_rounds/hpc_random_forest_all_classes_round8_reviewed_labels.csv
HPC 0112-5.npz,data/raw/hpc/HPC 0112-5.npz,22,905,0112-5-CA1001,0112-5-CA1001,-0.02922508470172169,1.018041286759761,-0.05842759791726805,1.018041286759761,dual_peak,,hpc_doublecheck_round7,review_rounds/hpc_doublecheck_round7_reviewed_labels.csv
HPC 0112-5.npz,data/raw/hpc/HPC 0112-5.npz,64,2089,0112-5-CA1001,0112-5-CA1001,0.018512837647084866,1.342020357683581,-0.054477213913997805,1.342020357683581,sustained_response,,hpc_doublecheck_round7,review_rounds/hpc_doublecheck_round7_reviewed_labels.csv
HPC 0112-5.npz,data/raw/hpc/HPC 0112-5.npz,76,2502,0112-5-CA1001,0112-5-CA1001,-0.0108799112085077,0.04405145958933494,-0.838869773926168,0.838869773926168,inhibition,,hpc_random_forest_all_classes_round8,review_rounds/hpc_random_forest_all_classes_round8_reviewed_labels.csv
HPC 0112-5.npz,data/raw/hpc/HPC 0112-5.npz,83,2950,0112-5-CA1001,0112-5-CA1001,-0.008677354838615045,0.3385960577120711,-0.05210487010306613,0.3385960577120711,no_response,,hpc_doublecheck_round7,review_rounds/hpc_doublecheck_round7_reviewed_labels.csv
HPC 0112-5.npz,data/raw/hpc/HPC 0112-5.npz,95,3402,0112-5-CA1001,0112-5-CA1001,-0.00027979238483315423,1.6098505323220555,-0.06455649813605505,1.6098505323220555,second_peak,,hpc_doublecheck_round7,review_rounds/hpc_doublecheck_round7_reviewed_labels.csv
HPC 0112-5.npz,data/raw/hpc/HPC 0112-5.npz,143,354,0112-5-CA1002,0112-5-CA1002,-0.02519773646754859,0.3684653401569343,-0.5462977263238549,0.5462977263238549,weak_first_peak,,hpc_random_forest_targeted_wds_round9,review_rounds/hpc_random_forest_targeted_wds_round9_reviewed_labels.csv
HPC 0112-5.npz,data/raw/hpc/HPC 0112-5.npz,147,418,0112-5-CA1002,0112-5-CA1002,-0.09392412390008963,17.106809602878773,-0.07655830295883169,17.106809602878773,sustained_response,,hpc_doublecheck_round7,review_rounds/hpc_doublecheck_round7_reviewed_labels.csv
HPC 0112-5.npz,data/raw/hpc/HPC 0112-5.npz,153,457,0112-5-CA1002,0112-5-CA1002,-0.076785621445096,0.12023166853177293,-0.8545894620393854,0.8545894620393854,inhibition,,hpc_doublecheck_round7,review_rounds/hpc_doublecheck_round7_reviewed_labels.csv
