"review_index","source_file","source_path","trace_index","fiber_id","nd2_name","tile_name","baseline_9p5_10d","shifted_max","shifted_min","shifted_amplitude","predicted_label","model_top_label","prediction_confidence","target_label_distance","reviewed_label","notes"
"1","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","980","3475","0203-5-A5-DG","0203-5-A5-DG","0.1012671792168999","0.2951830778330975","-0.10207112986442574","0.2951830778330975","dual_peak","dual_peak","0.306151163772298","2.1472092817905577","second_peak",""
"2","HPC 0212-1.npz","data/raw/hpc/HPC 0212-1.npz","342","6467","0212-1-B2-DG002","0212-1-B2-DG002","0.02726318081425419","0.3990420470429086","-0.05353905095450069","0.3990420470429086","dual_peak","dual_peak","0.302597189828113","1.7871820615899776","sustained_response",""
"3","HPC 0203-2.npz","data/raw/hpc/HPC 0203-2.npz","330","3986","0203-2-B2-40X001","0203-2-B2-40X001","0.008907093765887877","0.32619747729499143","-0.06267982134116022","0.32619747729499143","dual_peak","dual_peak","0.300066743528138","1.7948572804381957","dual_peak",""
"4","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","803","963","0212-5-B2-40X","0212-5-B2-40X","0.013031765912223207","0.382197019894538","-0.04216406922138055","0.382197019894538","dual_peak","dual_peak","0.29823794307869483","1.7964159470227636","sustained_response",""
"5","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","871","2544","0212-5-B2-40X","0212-5-B2-40X","0.044346905013682374","0.35029135523163724","-0.041745772402662695","0.35029135523163724","dual_peak","dual_peak","0.29179081017421704","2.283101164688767","sustained_response",""
"6","HPC 0212-4.npz","data/raw/hpc/HPC 0212-4.npz","16","418","0212-4-C2-40X002","0212-4-C2-40X002","-0.002767285833029352","0.3659403561440815","-0.048168532771060264","0.3659403561440815","dual_peak","dual_peak","0.29149760410646164","1.8529424436116595","strong_first_peak",""
"7","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","770","1459","0203-4-B5003","0203-4-B5003","0.05388482274360518","0.4412699762078058","-0.11674254600445438","0.4412699762078058","dual_peak","dual_peak","0.28561818282475376","2.6180985759276805","sustained_response",""
"8","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","2348","1283","0203-4-D2002","0203-4-D2002","-0.008935882177080754","0.2951322487299532","-0.03434431186841256","0.2951322487299532","dual_peak","dual_peak","0.28543985075129946","1.2847282686907064","sustained_response",""
"9","HPC 0203-3.npz","data/raw/hpc/HPC 0203-3.npz","808","1866","0203-3-C2002","0203-3-C2002","0.011659541406129749","0.24658840935656157","-0.04477707011967662","0.24658840935656157","dual_peak","dual_peak","0.28270077735615323","2.0678259746611065","no_response",""
"10","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","2304","1818","0212-5-C2-40X","0212-5-C2-40X","-0.10498329715611548","0.24596735064908395","-0.04947362031996139","0.24596735064908395","dual_peak","dual_peak","0.2801223204870951","2.155238367431707","sustained_response",""
