"review_index","source_file","source_path","trace_index","fiber_id","nd2_name","tile_name","baseline_9p5_10d","shifted_max","shifted_min","shifted_amplitude","predicted_label","prediction_confidence","reviewed_label","notes"
"1","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","187","1238","0112-5-CA1002","0112-5-CA1002","-0.013642421811436392","0.3744212242994558","-0.07143639505616346","0.3744212242994558","dual_peak","0.2980855214317414","sustained_response",""
"2","HPC 0203-3.npz","data/raw/hpc/HPC 0203-3.npz","297","415","0203-3-B5003","0203-3-B5003","0.011194326482339716","0.2403701359489349","-0.042446799553524026","0.2403701359489349","dual_peak","0.29659604089353686","sustained_response",""
"3","HPC 0120-5.npz","data/raw/hpc/HPC 0120-5.npz","168","3655","0120-5-CA1001","0120-5-CA1001","0.03136164826943025","0.3409429211067634","-0.07035484684620101","0.3409429211067634","dual_peak","0.291353233754851","sustained_response",""
"4","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2537","284","0203-5-C5002","0203-5-C5002","0.06694757168953723","0.2849388940099948","-0.11549346466346551","0.2849388940099948","dual_peak","0.2822575898187815","sustained_response",""
"5","HPC 0203-2.npz","data/raw/hpc/HPC 0203-2.npz","412","1534","0203-2-B2-40X002","0203-2-B2-40X002","0.02203779286681566","0.2956513063170058","-0.08146086737479755","0.2956513063170058","dual_peak","0.28068858305867483","sustained_response",""
"6","HPC 0212-1.npz","data/raw/hpc/HPC 0212-1.npz","288","3878","0212-1-B2-DG002","0212-1-B2-DG002","-0.001330294702834577","0.25220848851153527","-0.03653515043808556","0.25220848851153527","dual_peak","0.2763904638668182","sustained_response",""
"7","HPC 0203-2.npz","data/raw/hpc/HPC 0203-2.npz","756","3953","0203-2-B2-40X","0203-2-B2-40X","0.0011088882670817147","0.5306158720621796","-0.06778525217443161","0.5306158720621796","dual_peak","0.2727598255187944","sustained_response",""
"8","HPC 0203-2.npz","data/raw/hpc/HPC 0203-2.npz","170","1659","0203-2-A5-40X002","0203-2-A5-40X002","0.0332719244967092","0.8107037787854899","-0.10390179919503575","0.8107037787854899","dual_peak","0.26926674068433776","second_peak",""
"9","HPC 0203-3.npz","data/raw/hpc/HPC 0203-3.npz","426","16","0203-3-B5004","0203-3-B5004","-0.0006533981581236419","0.6169664191622868","-0.026937325968838573","0.6169664191622868","dual_peak","0.26656163364149904","sustained_response",""
"10","HPC 0120-5.npz","data/raw/hpc/HPC 0120-5.npz","111","1178","0120-5-CA1001","0120-5-CA1001","0.024332929693393388","0.4480178269990529","-0.08151325705101647","0.4480178269990529","dual_peak","0.2637542336140652","second_peak",""
"11","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2180","715","0203-5-B5002","0203-5-B5002","-0.020704554241371718","0.5742114192267725","-0.060985771493870855","0.5742114192267725","dual_peak","0.25102035323965366","no_response",""
"12","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","2533","2242","0203-4-D2003","0203-4-D2003","0.018711050595569167","0.20278214737201863","-0.07594604621409401","0.20278214737201863","dual_peak","0.18666747709179982","sustained_response",""
"13","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","1506","2095","0212-5-B5-40X005","0212-5-B5-40X005","-0.019044414709538823","0.26811947069130815","-0.07181107840286796","0.26811947069130815","dual_peak","0.15670241734574136","no_response",""
"14","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","67","2175","0203-5-4x001","0203-5-4x001","-0.005426842400206969","0.6437718436416977","-0.04496858967532641","0.6437718436416977","dual_peak","0.1309067552687327","second_peak",""
"15","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","440","4323","0203-5-A2-DG","0203-5-A2-DG","0.02493896921020286","0.3748761370963922","-0.0793276858609919","0.3748761370963922","dual_peak","0.10701236356731254","sustained_response",""
"16","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","3105","2488","0212-5-C5-40X","0212-5-C5-40X","0.0244400282582779","0.5345575091516486","-0.0952641997515143","0.5345575091516486","dual_peak","0.08765138470718815","sustained_response",""
"17","HPC 0120-5.npz","data/raw/hpc/HPC 0120-5.npz","319","564","0120-5-CA1003","0120-5-CA1003","0.054895549827992066","0.6437675403759071","-0.18076993197190594","0.6437675403759071","dual_peak","0.07051399202740843","weak_first_peak",""
"18","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","78","2701","0212-5-B2-40X001","0212-5-B2-40X001","0.02917170393682422","0.7767665770918548","-0.0867107557518698","0.7767665770918548","dual_peak","0.05048558619933264","strong_first_peak",""
"19","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","673","1703","0203-5-A2002","0203-5-A2002","0.008755775529651434","0.32490060902185414","-0.04118927912742169","0.32490060902185414","dual_peak","0.03548014036906876","sustained_response",""
"20","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","696","3685","0112-5-CA1","0112-5-CA1","0.038814936946264963","0.27497084780157766","-0.26386204854616363","0.27497084780157766","dual_peak","0.01716970706900948","strong_first_peak",""
"21","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1313","367","0203-5-A5003","0203-5-A5003","0.013152146491394555","0.004823290951049044","-0.7224984333828022","0.7224984333828022","inhibition","0.8055169598642085","inhibition",""
"22","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2617","264","0203-5-C5003","0203-5-C5003","0.007264621415630269","0.01430488684491018","-0.6006959345552139","0.6006959345552139","inhibition","0.7929708080384575","inhibition",""
"23","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","225","2969","0203-4-B2002","0203-4-B2002","0.007823673289226812","0.01030051826952737","-0.6845553195089141","0.6845553195089141","inhibition","0.7831925254226059","inhibition",""
"24","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","2177","3452","0203-4-C5003","0203-4-C5003","0.005170862476796049","0.010029763632923233","-0.7249305875539516","0.7249305875539516","inhibition","0.7793180913987143","inhibition",""
"25","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","1113","1978","0212-5-B5-40X002","0212-5-B5-40X002","0.009093585672524659","0.012885129788067586","-0.7257027990680968","0.7257027990680968","inhibition","0.7786775416611055","inhibition",""
"26","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2177","644","0203-5-B5002","0203-5-B5002","0.01623754060358705","0.008375433965133412","-0.7703622785340674","0.7703622785340674","inhibition","0.7751474910570344","inhibition",""
"27","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1188","1108","0203-4-C2002","0203-4-C2002","0.007468141325016842","0.008263567711599456","-0.6874844990533329","0.6874844990533329","inhibition","0.7722873130121586","inhibition",""
"28","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1358","2213","0203-4-C2003","0203-4-C2003","0.01554084683662088","0.007547760131363834","-0.7479613540975112","0.7479613540975112","inhibition","0.7720795574432253","inhibition",""
"29","HPC 0203-3.npz","data/raw/hpc/HPC 0203-3.npz","286","203","0203-3-B5003","0203-3-B5003","0.00933166138415236","0.0046373636005873735","-0.727476237689475","0.727476237689475","inhibition","0.7652565833255546","inhibition",""
"30","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","2239","1373","0203-4-D2001-2","0203-4-D2001-2","0.018021528538603174","0.013485444069048138","-0.6092147450382297","0.6092147450382297","inhibition","0.764507253909078","inhibition",""
"31","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2533","192","0203-5-C5002","0203-5-C5002","0.023802053344362587","0.009708699783203472","-0.5976213905518842","0.5976213905518842","inhibition","0.7618036622343204","inhibition",""
